,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,116,carmen,18.6333,-91.8333,80.64,83,0,8.05,MX,1669342134
128,128,ixtapa,20.7,-105.2,74.43,69,0,4.61,MX,1669342124
178,178,gunjur,13.2019,-16.7339,71.67,64,0,6.91,GM,1669342167
218,218,doha,25.2867,51.5333,71.58,56,0,2.3,QA,1669342115
259,259,salalah,17.0151,54.0924,72.9,69,0,2.51,OM,1669342213
307,307,muswellbrook,-32.2667,150.9,86.32,33,0,5.17,AU,1669342242
337,337,maxixe,-23.8597,35.3472,73.98,88,0,8.99,MZ,1669342257
359,359,broken hill,-31.95,141.4333,80.37,21,0,1.86,AU,1669342269
372,372,ballina,-28.8667,153.5667,85.01,55,0,9.75,AU,1669342278
485,485,angoche,-16.2325,39.9086,75.24,86,0,6.98,MZ,1669342334
534,534,acapulco,16.8634,-99.8901,82.22,78,0,3.44,MX,1669342112
538,538,brandon,27.9378,-82.2859,72.03,83,0,1.99,US,1669342243
